Date,Open,High,Low,Close,Adj Close,Volume
2020-09-01,5150.000000,5175.000000,5025.000000,5175.000000,5042.509277,54441900
2020-09-02,5250.000000,5275.000000,5125.000000,5225.000000,5091.229004,46207400
2020-09-03,5275.000000,5375.000000,5250.000000,5350.000000,5213.028809,133938600
2020-09-04,5250.000000,5250.000000,5125.000000,5225.000000,5091.229004,94096000
2020-09-07,5225.000000,5275.000000,5125.000000,5250.000000,5115.588867,40928200
2020-09-08,5300.000000,5300.000000,5225.000000,5250.000000,5115.588867,22596800
2020-09-09,5150.000000,5175.000000,5025.000000,5025.000000,4896.349609,73421800
2020-09-10,4780.000000,4790.000000,4680.000000,4680.000000,4560.182129,132102700
2020-09-11,4450.000000,4880.000000,4420.000000,4870.000000,4745.317871,121461600
2020-09-14,4980.000000,5050.000000,4910.000000,5050.000000,4920.709473,77510600
2020-09-15,5050.000000,5100.000000,4910.000000,4940.000000,4813.525879,49093700
2020-09-16,4990.000000,4990.000000,4870.000000,4870.000000,4745.317871,30253200
2020-09-17,4860.000000,4890.000000,4700.000000,4720.000000,4599.158203,62086500
2020-09-18,4720.000000,4810.000000,4700.000000,4740.000000,4618.645996,43650100
2020-09-21,4760.000000,4760.000000,4550.000000,4590.000000,4472.486328,44015600
2020-09-22,4500.000000,4640.000000,4460.000000,4540.000000,4423.766113,48240400
2020-09-23,4570.000000,4600.000000,4360.000000,4420.000000,4306.838867,55814500
2020-09-24,4360.000000,4400.000000,4310.000000,4330.000000,4219.143066,50774500
2020-09-25,4360.000000,4600.000000,4360.000000,4600.000000,4482.230469,54992300
2020-09-28,4650.000000,4690.000000,4500.000000,4540.000000,4423.766113,31059400
2020-09-29,4600.000000,4650.000000,4470.000000,4510.000000,4394.534180,42230000
2020-09-30,4550.000000,4560.000000,4370.000000,4440.000000,4326.326660,31951700
2020-10-01,4490.000000,4580.000000,4470.000000,4570.000000,4452.998535,25883000
2020-10-02,4580.000000,4590.000000,4380.000000,4510.000000,4394.534180,30715500
2020-10-05,4540.000000,4620.000000,4500.000000,4620.000000,4501.718262,29857100
2020-10-06,4710.000000,4740.000000,4650.000000,4670.000000,4550.438477,49034100
2020-10-07,4620.000000,4690.000000,4610.000000,4670.000000,4550.438477,24101700
2020-10-08,4720.000000,4720.000000,4650.000000,4670.000000,4550.438477,21083400
2020-10-09,4700.000000,4700.000000,4620.000000,4640.000000,4521.206543,25505200
2020-10-12,4690.000000,4710.000000,4660.000000,4670.000000,4550.438477,31644500
2020-10-13,4670.000000,4780.000000,4620.000000,4760.000000,4638.133789,45256200
2020-10-14,4760.000000,4950.000000,4760.000000,4950.000000,4823.270020,66920300
2020-10-15,4950.000000,4950.000000,4780.000000,4780.000000,4657.622070,53219700
2020-10-16,4850.000000,4860.000000,4760.000000,4810.000000,4686.854004,27057500
2020-10-19,4850.000000,4900.000000,4820.000000,4890.000000,4764.805664,36507600
2020-10-20,4870.000000,4890.000000,4810.000000,4810.000000,4686.854004,28628400
2020-10-21,4850.000000,4930.000000,4850.000000,4880.000000,4755.062012,44696300
2020-10-22,4830.000000,4880.000000,4830.000000,4860.000000,4735.573730,22289100
2020-10-23,4860.000000,4900.000000,4840.000000,4850.000000,4725.829590,23111100
2020-10-26,4870.000000,4920.000000,4830.000000,4850.000000,4725.829590,56483600
2020-10-27,4800.000000,4850.000000,4730.000000,4740.000000,4618.645996,88238000
